category,file,line,symbol,current_dependency,role,portability,ascend_action,priority,notes
build_metadata,pyproject.toml,25,torch<2.10.0,torch(CUDA build),required_runtime,thin-adaptation,switch to torch_npu-compatible torch build; keep version pin loose,P0,Ascend needs matching torch+torch_npu wheel
build_metadata,pyproject.toml,26,transformers>=4.56.0<=4.57.3,transformers,required_runtime,portable,keep as-is,P2,pure python, device-agnostic
build_metadata,pyproject.toml,27,flashinfer-python>=0.5.3,flashinfer,attention/norm/rope/sampling,backend-replacement,move to optional cuda extra; add ascend backend alternative,P0,flashinfer is CUDA/PTX only
build_metadata,pyproject.toml,32,apache-tvm-ffi>=0.1.4,tvm-ffi,JIT/AOT kernel loader,thin-adaptation,keep for CPU AOT parts; skip cuda_files on Ascend,P1,ffi itself is portable; only .cu invocations fail
build_metadata,pyproject.toml,33,sgl_kernel>=0.3.17.post1,sgl_kernel,attention (fa)/moe helpers,backend-replacement,move to cuda extra; provide ascend equivalent,P0,CUDA-only wheel
build_metadata,pyproject.toml,34,quack-kernels,quack-kernels,declared not imported,portable,drop from ascend deps,P2,no import found in Python source
build_metadata,pyproject.toml,22,accelerate,accelerate,declared not imported,portable,drop from ascend deps,P2,no import found in Python source
build_metadata,pyproject.toml,13,license MIT,MIT,license,portable,retain MIT; add NOTICE if forking upstream sgl-project,P2,fork obligations minimal but recommend NOTICE
device_probe,python/minisgl/utils/arch.py,12,torch.cuda.is_available,torch.cuda,device capability probe,thin-adaptation,replace with device abstraction that also probes torch_npu,P0,root of arch dispatch (is_sm90/sm100)
device_probe,python/minisgl/utils/arch.py,14,torch.cuda.get_device_capability,torch.cuda,arch dispatch,thin-adaptation,return None on NPU or map to NPU generation,P0,used by SM90/SM100 gates only
device_probe,python/minisgl/utils/torch_utils.py,24,torch.cuda.nvtx,torch.cuda.nvtx,profiling annotation,thin-adaptation,make lazy/no-op on NPU or route to torch_npu profiler,P1,decorator can degrade gracefully
control_plane,python/minisgl/engine/engine.py,31,torch.cuda.is_initialized,torch.cuda,startup guard,thin-adaptation,call device abstraction,P0,eager Ascend startup path
control_plane,python/minisgl/engine/engine.py,35,f"cuda:{rank}",torch.cuda,device string,thin-adaptation,use device abstraction (npu:{rank}),P0,change torch.device construction only
control_plane,python/minisgl/engine/engine.py,36,torch.cuda.set_device,torch.cuda,set current device,thin-adaptation,delegate to device abstraction,P0,torch_npu.npu.set_device on NPU
control_plane,python/minisgl/engine/engine.py,38-39,torch.cuda.Stream+set_stream,torch.cuda,worker stream setup,thin-adaptation,delegate to device abstraction,P0,torch_npu supports Stream API
control_plane,python/minisgl/engine/engine.py,114,init_process_group backend=gloo,torch.distributed,control-plane group,portable,keep gloo group,P2,CPU broadcast unaffected
control_plane,python/minisgl/engine/engine.py,128,init_process_group backend=nccl,torch.distributed,device comm group,thin-adaptation,dispatch to hccl on Ascend,P0,backend string selection
control_plane,python/minisgl/engine/engine.py,135,new_group backend=gloo,torch.distributed,control subgroup,portable,keep as-is,P2,-
control_plane,python/minisgl/engine/engine.py,172-174,synchronize/empty_cache/reset_peak_memory_stats,torch.cuda,memory ops,thin-adaptation,route through device abstraction,P0,torch_npu.npu.* equivalents exist
control_plane,python/minisgl/engine/engine.py,192,torch.cuda.current_stream,torch.cuda,stream capture,thin-adaptation,device abstraction,P0,-
control_plane,python/minisgl/engine/engine.py,204,torch.cuda.Event,torch.cuda,event sync,thin-adaptation,device abstraction (torch_npu.npu.Event),P0,used for stream overlap; NPU supports Event
control_plane,python/minisgl/engine/engine.py,209,destroy_cuda_graphs,graph module,shutdown hook,thin-adaptation,guard behind graph-supported flag,P1,graph disabled on Ascend Gate 0
graph_plane,python/minisgl/engine/graph.py,49-67,_determine_cuda_graph_bs,internal,graph capture policy,backend-replacement,disable path entirely on Ascend Gate 0,P1,not in Gate 0 minimal set
graph_plane,python/minisgl/engine/graph.py,75,mem_get_info,torch.cuda,memory query,thin-adaptation,device abstraction,P1,torch_npu equivalent exists
graph_plane,python/minisgl/engine/graph.py,112-114,synchronize/empty_cache/reset_peak_memory_stats,torch.cuda,memory ops,thin-adaptation,device abstraction,P1,-
graph_plane,python/minisgl/engine/graph.py,133,torch.cuda.CUDAGraph,torch.cuda,graph capture,backend-replacement,gate off; no NPU equivalent in Gate 0,P1,NPU has aclgraph but out of scope for Gate 0
graph_plane,python/minisgl/engine/graph.py,140,torch.cuda.graph,torch.cuda,graph capture ctx,backend-replacement,gate off,P1,-
control_plane,python/minisgl/engine/sample.py,30,flashinfer.sampling,flashinfer,top_k_top_p_sampling_from_probs,backend-replacement,replace with pure torch sampling or NPU op,P0,fallback torch impl is straightforward
control_plane,python/minisgl/engine/sample.py,72,torch.cuda.nvtx.range,torch.cuda.nvtx,profiling,thin-adaptation,use decorator abstraction,P1,-
control_plane,python/minisgl/engine/sample.py,21,pin_memory,torch,H2D staging,portable,portable pin_memory works on NPU,P2,verify on torch_npu; fallback plain tensor
